Date,"Peso (kg)","Masa grasa (kg)","Bone mass (kg)","Muscle mass (kg)","Hidratación (kg)",Comentarios
"2022-11-04 10:53:40",74.58,8.08,2.92,63.57,43.06,
"2022-11-02 10:28:28",74.78,,,,,
"2022-10-29 10:06:43",75.57,9.78,2.89,62.89,42.40,
"2022-10-26 21:59:10",76.65,6.48,3.07,67.09,46.33,
"2022-10-23 11:50:48",76.05,8.06,2.97,65.01,44.23,
"2022-10-21 09:23:59",75.82,8.13,2.96,64.72,43.99,
"2022-10-17 09:14:46",75.18,8.58,2.92,63.66,43.08,
"2022-10-17 09:14:16",75.11,,,,,
"2022-10-14 11:55:05",75.65,7.76,2.97,64.91,44.20,
"2022-10-11 09:16:00",77.02,8.56,2.99,65.46,44.55,
"2022-10-07 11:37:45",76.71,8.01,3.00,65.69,44.81,
"2022-10-06 11:24:11",76.47,6.39,3.06,67.00,46.28,
"2022-10-03 10:15:20",76.61,8.10,2.99,65.50,44.64,
"2022-10-01 10:42:58",76.02,8.28,2.96,64.77,44.02,
"2022-09-29 11:12:41",75.85,9.23,2.92,63.69,43.06,
"2022-09-27 08:32:49",75.59,8.29,2.94,64.34,43.67,
"2022-09-24 10:20:54",75.86,8.34,2.95,64.56,43.84,
"2022-09-22 10:01:48",76.35,8.88,2.95,64.50,43.74,
"2022-09-20 10:02:11",77.53,8.38,3.01,66.12,45.12,
"2022-09-15 07:57:00",76.27,8.79,2.95,64.51,43.76,
"2022-09-13 10:46:44",77.32,7.58,3.04,66.68,45.73,
"2022-09-12 12:35:10",76.21,8.00,2.98,65.22,44.43,
"2022-09-10 08:08:06",77.58,8.70,3.00,65.85,44.86,
"2022-09-08 06:24:12",76.17,9.65,2.91,63.60,42.97,
"2022-09-07 10:18:49",76.45,8.51,2.97,64.97,44.15,
"2022-08-31 10:39:29",76.38,,,,,
"2022-08-30 09:18:34",75.95,9.38,2.92,63.64,43.03,
"2022-08-29 07:40:01",76.04,10.19,2.89,62.94,42.46,
"2022-08-27 11:26:55",75.52,7.88,2.96,64.67,44.00,
"2022-08-25 08:50:21",76.67,9.06,2.95,64.65,43.85,
"2022-08-24 08:46:41",76.65,9.19,2.95,64.50,43.72,
"2022-08-23 09:23:58",76.64,8.12,2.99,65.52,44.67,
"2022-08-22 09:11:55",77.12,9.40,2.96,64.75,43.91,
"2022-08-20 10:04:54",75.65,9.40,2.91,63.33,42.78,
"2022-08-19 08:55:57",76.37,9.52,2.93,63.91,43.23,
"2022-08-17 10:23:54",77.21,8.22,3.01,65.97,45.03,
"2022-08-15 11:52:11",77.29,7.52,3.04,66.72,45.78,
"2022-08-12 11:59:28",77.50,8.96,2.99,65.53,44.58,
"2022-08-10 11:15:44",77.26,9.03,2.98,65.23,44.33,
"2022-08-09 10:05:06",77.20,9.25,2.97,64.97,44.10,
"2022-08-08 14:10:15",77.22,,,,,
"2022-08-06 11:30:27",77.66,8.60,3.01,66.04,45.03,
"2022-08-04 11:14:04",76.45,8.65,2.96,64.82,44.03,
"2022-08-04 09:23:40",76.61,9.89,2.92,63.78,43.12,
"2022-08-03 11:37:47",76.21,9.19,2.93,64.07,43.38,
"2022-08-02 10:11:25",77.07,9.71,2.94,64.39,43.61,
"2022-08-01 10:47:05",77.56,8.70,3.00,65.85,44.88,
"2022-07-29 09:38:16",77.89,9.62,2.98,65.27,44.32,
"2022-07-25 09:30:15",76.99,8.79,2.98,65.21,44.34,
"2022-07-21 09:23:45",77.22,9.41,2.96,64.84,43.99,
"2022-07-20 09:12:05",77.10,9.88,2.94,64.27,43.51,
"2022-07-16 10:12:13",76.82,8.31,2.99,65.50,44.64,
"2022-07-12 11:33:14",77.96,9.76,2.97,65.20,44.26,
"2022-07-08 09:34:14",76.69,,,,,
"2022-07-08 08:01:26",76.88,9.95,2.93,63.99,43.29,
"2022-07-07 09:09:31",76.46,,,,,
"2022-07-05 09:50:44",77.45,,,,,
"2022-07-01 14:56:11",78.44,,,,,
"2022-06-02 04:53:34",77.57,,,,,
"2022-05-31 11:44:04",76.70,7.18,3.04,66.47,45.66,
"2022-05-26 10:31:55",76.27,8.41,2.97,64.88,44.13,
"2022-05-25 10:15:33",75.60,7.50,2.98,65.11,44.45,
"2022-05-23 09:10:35",75.83,7.85,2.97,64.99,44.30,
"2022-05-20 11:32:03",75.67,,,,,
"2022-05-17 11:07:47",75.38,,,,,
"2022-05-16 10:00:51",75.70,9.34,2.91,63.44,42.91,
"2022-05-14 09:36:24",76.32,,,,,
"2022-05-11 12:46:24",76.46,7.98,2.99,65.47,44.69,
"2022-05-10 09:46:30",76.83,,,,,
"2022-05-09 12:28:28",76.42,,,,,
"2022-05-07 10:27:41",76.30,8.47,2.96,64.85,44.11,
"2022-05-06 09:58:54",76.37,10.24,2.90,63.21,42.70,
"2022-05-05 10:16:14",76.81,9.57,2.94,64.28,43.56,
"2022-05-03 08:50:51",77.10,9.44,2.96,64.69,43.89,
"2022-05-02 17:35:15",77.27,8.05,3.02,66.18,45.27,
"2022-04-28 10:18:54",76.99,,,,,
"2022-04-27 09:13:21",77.19,8.50,3.00,65.67,44.78,
"2022-04-26 10:32:34",77.62,9.58,2.97,65.06,44.18,
"2022-04-25 08:56:51",77.98,9.32,2.99,65.65,44.68,
"2022-04-24 09:52:47",77.41,,,,,
"2022-04-21 09:51:38",76.56,8.03,2.99,65.52,44.72,
"2022-04-21 01:13:39",76.88,9.61,2.94,64.31,43.58,
"2022-04-19 11:04:59",76.66,8.37,2.98,65.29,44.48,
"2022-04-18 18:11:16",76.65,8.51,2.98,65.15,44.35,
"2022-04-16 11:50:18",76.57,9.20,2.95,64.41,43.70,
"2022-04-14 12:52:25",77.13,7.93,3.02,66.17,45.28,
"2022-04-14 10:18:38",77.34,10.12,2.94,64.27,43.54,
"2022-04-14 10:18:04",77.34,,,,,
"2022-04-13 13:01:50",77.88,,,,,
"2022-04-13 10:55:14",78.17,9.22,3.00,65.93,44.92,
"2022-04-08 12:55:22",78.78,7.38,3.11,68.27,47.20,
"2022-04-06 10:38:23",78.82,8.38,3.06,67.36,46.21,
"2022-04-04 14:18:35",79.18,,,,,
"2022-03-30 12:04:39",78.00,9.23,3.00,65.76,44.78,
"2022-03-29 09:40:20",78.48,9.29,3.01,66.16,45.11,
"2022-03-26 12:22:58",79.06,8.66,3.06,67.32,46.14,
"2022-03-25 11:07:42",78.87,,,,,
"2022-03-24 08:43:23",78.74,10.67,2.97,65.09,44.17,
"2022-03-23 09:10:19",79.10,11.50,2.95,64.63,43.81,
"2022-03-22 08:16:21",79.24,11.75,2.95,64.53,43.74,
"2022-03-16 08:33:29",79.46,11.77,2.95,64.72,43.88,
"2022-03-15 11:02:36",79.45,9.76,3.03,66.64,45.46,
"2022-03-14 14:00:37",80.13,10.14,3.04,66.94,45.67,
"2022-03-09 09:20:12",81.15,11.77,,,,
"2022-03-08 11:39:28",80.80,10.46,,,,
"2022-03-08 11:37:23",80.70,10.41,,,,
